"Global_Index", "x_coord", "y_coord", "Pressure", "Pressure_Coefficient", "Skin_Friction_Coefficient_X", "Skin_Friction_Coefficient_Y", "Heat_Flux"
199, 9.997532964000000e-01, -1.570538050000000e-02, 9.028985734094546e-01, -5.501572569287255e-01, -1.320751671119767e-04, -4.202700074279243e-03, 0.000000000000000e+00
4513, 9.994449375347089e-01, -2.355322421560654e-02, 9.028887458190804e-01, -5.505819964828188e-01, -2.965379796287533e-04, -6.288441856135133e-03, 0.000000000000000e+00
0, 9.990134239000000e-01, -3.139526010000000e-02, 9.028745451283697e-01, -5.511957374722816e-01, -5.254491563641693e-04, -8.351774868435427e-03, 0.000000000000000e+00
3478, 9.984586665942501e-01, -3.922955132399737e-02, 9.028568004352773e-01, -5.519626470345110e-01, -8.173050126506860e-04, -1.038431864890642e-02, 0.000000000000000e+00
1, 9.977809787000000e-01, -4.705416770000000e-02, 9.028347795398284e-01, -5.529143701891812e-01, -1.170268418463872e-03, -1.238014294815394e-02, 0.000000000000000e+00
5004, 9.969804749819151e-01, -5.486718041552714e-02, 9.028092844519733e-01, -5.540162447927078e-01, -1.582214750377017e-03, -1.433091548487683e-02, 0.000000000000000e+00
2, 9.960572720000000e-01, -6.266664700000001e-02, 9.027796443643000e-01, -5.552972625338148e-01, -2.050453788649445e-03, -1.623099940745089e-02, 0.000000000000000e+00
5002, 9.950118176703762e-01, -7.045069457904744e-02, 9.027466834516468e-01, -5.567218033225385e-01, -2.571991697573588e-03, -1.807284100630440e-02, 0.000000000000000e+00
3, 9.938442111000000e-01, -7.821735730000000e-02, 9.027097563579320e-01, -5.583177588641532e-01, -3.144213030222343e-03, -1.985173817853660e-02, 0.000000000000000e+00
4319, 9.925546210574051e-01, -8.596479090299680e-02, 9.026696401992975e-01, -5.600515429029319e-01, -3.762814358555045e-03, -2.155964406011405e-02, 0.000000000000000e+00
4, 9.911435843000000e-01, -9.369102860000000e-02, 9.026257701643884e-01, -5.619475660740202e-01, -4.424473634906790e-03, -2.319379404611445e-02, 0.000000000000000e+00
4128, 9.896112794633448e-01, -1.013942553711323e-01, 9.025788977542412e-01, -5.639733491833332e-01, -5.124522734092165e-03, -2.474645795477974e-02, 0.000000000000000e+00
5, 9.879583716000000e-01, -1.090725063000000e-01, 9.025284916677286e-01, -5.661518545843336e-01, -5.860110925428207e-03, -2.621638404261851e-02, 0.000000000000000e+00
4131, 9.861846402695220e-01, -1.167240145214142e-01, 9.024752784328630e-01, -5.684516823944269e-01, -6.624437282139540e-03, -2.759498446611192e-02, 0.000000000000000e+00
6, 9.842916131000000e-01, -1.243468820000000e-01, 9.024187462869031e-01, -5.708949505357298e-01, -7.416551099415402e-03, -2.888505400773659e-02, -0.000000000000000e+00
4230, 9.822779587396269e-01, -1.319392682787755e-01, 9.023596434946862e-01, -5.734493196797555e-01, -8.226432471386248e-03, -3.007442595335852e-02, -0.000000000000000e+00
7, 9.801468253000000e-01, -1.394995152000000e-01, 9.022974635214708e-01, -5.761366817992144e-01, -9.056723734664705e-03, -3.117249669185601e-02, -0.000000000000000e+00
4995, 9.778949406650558e-01, -1.470252552684155e-01, 9.022329318525907e-01, -5.789256820751223e-01, -9.891789978251343e-03, -3.216018940065515e-02, -0.000000000000000e+00
8, 9.755281806000000e-01, -1.545156537000000e-01, 9.021654925690255e-01, -5.818403468239906e-01, -1.074201068524088e-02, -3.305887565556378e-02, -0.000000000000000e+00
5008, 9.730397005726438e-01, -1.619674093209601e-01, 9.020959920180175e-01, -5.848440976846279e-01, -1.158030976830089e-02, -3.383546084825922e-02, -0.000000000000000e+00
9, 9.704403877000000e-01, -1.693812161000000e-01, 9.020236757826925e-01, -5.879695398709874e-01, -1.243357252757850e-02, -3.453295541894595e-02, -0.000000000000000e+00
5006, 9.677167158596396e-01, -1.767514461198919e-01, 9.019495998513204e-01, -5.911710345265616e-01, -1.325263432079229e-02, -3.508985323445993e-02, -0.000000000000000e+00
10, 9.648882151000000e-01, -1.840820610000000e-01, 9.018727563640478e-01, -5.944921404412882e-01, -1.409196404466537e-02, -3.558826918654182e-02, -0.000000000000000e+00
4994, 9.619308948705363e-01, -1.913631321966315e-01, 9.017945043721528e-01, -5.978741206499686e-01, -1.486737221348056e-02, -3.591947000652186e-02, -0.000000000000000e+00
11, 9.588773251000000e-01, -1.986043303000000e-01, 9.017134127338764e-01, -6.013788278030868e-01, -1.567893050522063e-02, -3.622615846508896e-02, -0.000000000000000e+00
3453, 9.556875264125946e-01, -2.057884308506453e-01, 9.016313043219536e-01, -6.049274789922036e-01, -1.638514274580207e-02, -3.632551170999188e-02, -0.000000000000000e+00
12, 9.524134994000000e-01, -2.129344939000000e-01, 9.015461903309943e-01, -6.086060285848119e-01, -1.715637016165043e-02, -3.645128239050836e-02, -0.000000000000000e+00
5016, 9.489923253433015e-01, -2.200133900080059e-01, 9.014605369188075e-01, -6.123078914742611e-01, -1.776615244397210e-02, -3.631345111493111e-02, -0.000000000000000e+00
13, 9.455031753000001e-01, -2.270589768000000e-01, 9.013716398670136e-01, -6.161499415294215e-01, -1.848810228519660e-02, -3.627457610650726e-02, -0.000000000000000e+00
4454, 9.418515413594475e-01, -2.340239632992324e-01, 9.012826335937384e-01, -6.199967120380754e-01, -1.897330796266941e-02, -3.589591822187228e-02, -0.000000000000000e+00
